barack-obama
joe-biden
john-boehner
mitch-mcconnell
nancy-pelosi
harry-reid
my-city-bikes
13th-district-gop-slate
18-percent-american-public
60-plus-association
AARP
aclu-georgia-foundation
afl-cio
new-jersey-state-afl-cio
afscme
greg-abbott
kareem-abdul-jabbar
chris-abele
stacey-abrams
accountability-government
steve-acenbrak
art-acevedo
anonymous-activist
sam-adams
sandy-adams
cathie-adams
mike-adams
michael-adams
janet-adkins
shelley-adler
steve-adler
yolanda-adrean
steve-adubato-jr
advancing-wisconsin
ben-affleck
citizens-against-rail-taxes
marish-agana
larry-ahern
mahmoud-ahmadinejad
clay-aiken
doug-ainge
edith-ajello
akbar-al-baker
al-jazeera-america
david-alameel
sal-albanese
john-albers
luis-alejo
keith-alexander
lamar-alexander
jd-alexander
harry-alford
dennis-algiere
george-allen
ken-allen
rick-allen
diane-allen
allen-alley
alliance-defending-freedom
alliance-americas-future
alliance-retired-americans
ernest-almonte
roberto-alonzo
thad-altman
carol-alvarado
amalgamated-transit-union
justin-amash
jeff-amason
ameripac
americas-health-insurance-plans
american-natural-gas-alliance
american-action-network
american-beverage-association
american-bird-conservancy
american-bridge-21st-century
american-civil-liberties-union
aclu-florida
aclu-new-jersey-aclu
american-commitment
american-crossroads
american-energy-alliance
american-federation-children
american-future-fund
american-international-group
american-leadhership-pac
american-life-league
american-petroleum-institute
american-postal-workers-union
american-principles-action
americannewscom
americans-against-food-taxes
americans-tax-reform
americans-united-change
americans-united-life
americans-commonsense-solutions
americans-job-security
americans-prosperity
americans-prosperity-georgia-chapter
americans-prosperity-florida
americans-prosperity-new-jersey
americans-responsible-solutions
americans-safe-access
americans-strong-defense
elizabeth-ames-jones
ron-amstutz
brian-anderson
shirley-anderson
rob-andrews
joseph-andriole
kathleen-angelucci
sharron-angle
ted-ankrum
kofi-annan
frank-annunziato
anonymous-flier
gop-critics
anonymous-cyber-squatter
aziz-ansari
susanbanthony-list
anti-defamation-league
nickie-antonio
julaine-appling
steve-archambault
natalyn-archibong
diego-arene-morley
Arizona-Citizens-Defense-League
dick-armey
ward-armstrong
dave-aronberg
joe-arpaio
larry-ashley
reza-aslan
julian-assange
associated-industries-florida
gsu-alumni-association
association-mature-american-citizens
texas-association-school-boards
rob-astorino
athens-banner-herald
joe-atkins
atlanta-braves
atlanta-journal-constitution
atlanta-police-foundation
atlanta-sports-council
atlanta-neighborhood-association
gayle-atteberry
jeff-atwater
james-aubin
richard-august
loranne-ausley
city-austin
austin-water-utility
austinites-geographic-representation
brad-avakian
david-axelrod
john-axford
carla-axtman
jimmie-don-aycock
kelly-ayotte
bob
baby-got-pac
dino-baccari
michele-bachmann
spencer-bachus
back-basics
bret-baier
charlie-baird
thurbert-baker
graham-balch
lisa-baldelli-hunt
chuck-baldwin
tammy-baldwin
don-balfour
Ballesteros
ban-the-box-ri
trebor-banstetter
justin-barasky
rick-barber
robert-barber
haley-barbour
peter-barca
john-barge
george-barker
roy-barnes
sharon-barnes-sutton
bob-barr
john-barrasso
vincent-barrella
jimmy-barrett
tom-barrett
gonzalo-barrientos
john-barrow
maria-bartiromo
joe-barton
brent-barton
david-barton
dana-bash
basic-rights-oregon
charles-bass
bill-batchelder
raymond-bateman
alan-bates
battleground-texas
kurt-bauer
dennis-baxley
evan-bayh
angela-bean
bear-education-and-resource-group
joyce-beatty
heather-beaven
city-beaverton
xavier-becerra
glenn-beck
jennifer-beck
bob-beckel
