Larry,Ahern,Republican,http://www.politifact.com/personalities/larry-ahern/,"
	Larry Ahern is a member of the Florida House of Representatives representing District 51. He was first elected in 2010."
Mahmoud,Ahmadinejad,Mahmoud,http://www.politifact.com/personalities/mahmoud-ahmadinejad/,
Clay,Aiken,Democrat,http://www.politifact.com/personalities/clay-aiken/,Former American Idol runner-up Clay Aiken is running for U.S. House in North Carolina's second congressional district.
Doug,Ainge,Democrat,http://www.politifact.com/personalities/doug-ainge/,"
	Doug Ainge has taught at Banks High School since 1979. He is brother to Danny Ainge, former pro basketball player."
Edith,Ajello,Democrat,http://www.politifact.com/personalities/edith-ajello/,"
	Edith H. Ajello has been a Rhode Island state representative since November 1992. A Democrat, she chairs the House Committee on Judiciary and is a member of the House Oversight Committee. She lives in Providence and works in oriental rug restoration and sales at V. George Rustigian Rugs."
Akbar,Al,None,http://www.politifact.com/personalities/akbar-al-baker/,CEO of Qatar Airways
Al,Jazeera,Al,http://www.politifact.com/personalities/al-jazeera-america/,
David,Alameel,Democrat,http://www.politifact.com/personalities/david-alameel/,"David Alameel, a dentist-turned-investor, was the Democratic U.S. Senate nominee in Texas in 2014."
Sal,Albanese,Democrat,http://www.politifact.com/personalities/sal-albanese/,"
	Sal Albanese is a Democratic candidate for mayor of New York City in 2013. A former New York City council member, Albanese later served as managing director of Mesirow Financial."
John,Albers,John,http://www.politifact.com/personalities/john-albers/,
Luis,Alejo,Democrat,http://www.politifact.com/personalities/luis-alejo/,"Luis Alejo, Democratic state lawmaker from Salinas"
Keith,Alexander,Keith,http://www.politifact.com/personalities/keith-alexander/,
Lamar,Alexander,Lamar,http://www.politifact.com/personalities/lamar-alexander/,
J.D.,Alexander,Republican,http://www.politifact.com/personalities/jd-alexander/,"
	Sen. J.D. Alexander is a Republican from Lake Wales. He was first elected to the Florida Senate in 2002."
Harry,Alford,Harry,http://www.politifact.com/personalities/harry-alford/,
Dennis,Algiere,Republican,http://www.politifact.com/personalities/dennis-algiere/,"
	Dennis L. Algiere is a Republican state senator from Westerly, R.I. He is a senior vice president at Washington Trust Company, in Westerly."
George,Allen,Republican,http://www.politifact.com/personalities/george-allen/,"
	George Allen was a U.S. senator from 2001-2007. He was governor of Virginia from 1994-1998."
Ken,Allen,Ken,http://www.politifact.com/personalities/ken-allen/,
Rick,Allen,Republican,http://www.politifact.com/personalities/rick-allen/,Rick W. Allen is running as a Republican for the U.S. House seat currently held by Democrat John Barrow. He unsuccessfully ran for the seat in 2012. Allen owns an Augusta-based construction business.
Diane,Allen,Republican,http://www.politifact.com/personalities/diane-allen/,"
	Diane Allen is a Republican state senator representing parts of Burlington County."
Allen,Alley,Republican,http://www.politifact.com/personalities/allen-alley/,"
	A former candidate for governor and state treasurer, Allen Alley is the founder of Pixelworks, where he was CEO for 10 years."
Alliance,Defending,Alliance,http://www.politifact.com/personalities/alliance-defending-freedom/,
Alliance,for,None,http://www.politifact.com/personalities/alliance-americas-future/,"
	The Alliance for America’s Future is a Virginia-based group that supports Republican candidates and conservative causes. Its principals include Barry Bennett, a former top aide to Rep. Jean Schmidt, a Republican from southwest Ohio, and political consultant Mary Cheney, former Vice President Dick Cheney’s daughter."
Alliance,for,Organization,http://www.politifact.com/personalities/alliance-retired-americans/,"Founded in 2001, the Alliance for Retired Americans says its mission is to ""ensure social and economic justice and full civil rights for all citizens so that they may enjoy lives of dignity, personal and family fulfillment and security."""
Ernest,Almonte,Independent,http://www.politifact.com/personalities/ernest-almonte/,"Ernest Almonte served as Rhode Island's Auditor General from 1994 to 2010. He has served as president of the Rhode Island Society of Certified Public Accountants and the National Association of State Auditors. He is founder of the Almonte Group, an accounting firm. He is married with five sons. In 2014 he made an unsuccessful run for Rhode Island General Treasurer as an independent. "
